1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,Scholastic Inc.,30-06-1998,TRUE,2
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,Scholastic Inc.,30-06-1998,TRUE,1
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,Scholastic,30-06-1998,TRUE,8
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,Scholastic Inc.,30-06-1998,TRUE,5
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,Scholastic,30-06-1998,TRUE,7
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,Nimble Books,30-06-1998,TRUE,1
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,Scholastic,30-06-1998,TRUE,7
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Gramercy Books,30-06-1998,TRUE,2
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Del Rey Books,30-06-1998,TRUE,2
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,Crown,30-06-1998,TRUE,8
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,Random House Audio,30-06-1998,TRUE,2
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Wings Books,30-06-1998,TRUE,10
21,A Short History of Nearly Everything,Bill Bryson,Broadway Books,30-06-1998,TRUE,2
22,Bill Bryson's African Diary,Bill Bryson,Broadway Books,30-06-1998,TRUE,9
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,Broadway Books,30-06-1998,TRUE,6
24,In a Sunburned Country,Bill Bryson,Broadway Books,30-06-1998,TRUE,10
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,Broadway Books,30-06-1998,TRUE,10
26,The Lost Continent: Travels in Small Town America,Bill Bryson,William Morrow Paperbacks,30-06-1998,TRUE,7
27,Neither Here nor There: Travels in Europe,Bill Bryson,William Morrow Paperbacks,30-06-1998,TRUE,3
28,Notes from a Small Island,Bill Bryson,William Morrow Paperbacks,30-06-1998,TRUE,8
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,William Morrow Paperbacks,30-06-1998,TRUE,5
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Ballantine Books,30-06-1998,TRUE,9
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,Houghton Mifflin Harcourt,30-06-1998,TRUE,3
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,Houghton Mifflin Harcourt,30-06-1998,TRUE,9
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,Houghton Mifflin Harcourt,30-06-1998,TRUE,4
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,Houghton Mifflin Harcourt,30-06-1998,TRUE,10
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,Houghton Mifflin Harcourt,30-06-1998,FALSE,0
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,Pragmatic Bookshelf,30-06-1998,TRUE,5
50,Hatchet (Brian's Saga  #1),Gary Paulsen,Atheneum Books for Young Readers: Richard Jackson Books,30-06-1998,TRUE,8
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,Teacher Created Resources,30-06-1998,TRUE,8
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,Delacorte Press,30-06-1998,TRUE,8
54,Molly Hatchet - 5 of the Best,Molly Hatchet,Cherry Lane Music Company,30-06-1998,TRUE,7
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,The New Press,30-06-1998,TRUE,1
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,Changeling Press,30-06-1998,TRUE,7
58,Changeling (Changeling  #1),Delia Sherman,Viking Juvenile,30-06-1998,TRUE,6
59,The Changeling Sea,Patricia A. McKillip,Firebird,30-06-1998,TRUE,8
61,The Changeling,Zilpha Keatley Snyder,iUniverse,30-06-1998,TRUE,4
63,The Changeling,Kate Horsley,Shambhala,30-06-1998,TRUE,8
66,The Changeling (Daughters of England  #15),Philippa Carr,Ivy Books,30-06-1998,TRUE,4
67,The Known World,Edward P. Jones,Amistad,30-06-1998,TRUE,7
68,The Known World,Edward P. Jones/Kevin R. Free,HarperAudio,30-06-1998,TRUE,8
69,The Known World,Edward P. Jones,Harper,30-06-1998,TRUE,1
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,FT Press,30-06-1998,TRUE,9
72,Artesia: Adventures in the Known World,Mark Smylie,Archaia,30-06-1998,FALSE,0
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,Farrar  Straus and Giroux,30-06-1998,TRUE,2
75,Uncommon Carriers,John McPhee,Farrar Straus Giroux,30-06-1998,TRUE,6
76,Heirs of General Practice,John McPhee,Farrar  Straus and Giroux,30-06-1998,TRUE,7
77,The Control of Nature,John McPhee,Farrar  Straus and Giroux,30-06-1998,TRUE,5
78,Annals of the Former World,John McPhee,Farrar  Straus and Giroux,30-06-1998,TRUE,6
79,Coming Into the Country,John McPhee,Farrar  Straus and Giroux,30-06-1998,TRUE,7
80,La Place de la Concorde Suisse,John McPhee,Farrar  Straus and Giroux,30-06-1998,TRUE,8
81,Giving Good Weight,John McPhee,Farrar  Straus and Giroux,30-06-1998,TRUE,1
83,Rising from the Plains,John McPhee,Farrar  Straus and Giroux,30-06-1998,TRUE,2
85,The Heidi Chronicles,Wendy Wasserstein,Dramatists Play Service,30-06-1998,TRUE,3
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,Vintage,30-06-1998,TRUE,5
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,Routledge,30-06-1998,TRUE,2
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,North Light Books,30-06-1998,TRUE,7
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,Chosen Books,30-06-1998,TRUE,4
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,Association for Supervision & Curriculum Development,30-06-1998,TRUE,5
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,Kingfisher,30-06-1998,TRUE,5
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,ASCD,30-06-1998,TRUE,4
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,Sovereign World,30-06-1998,TRUE,8
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,Workman Publishing Company,30-06-1998,TRUE,7
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,One Hour Entertainment,30-06-1998,TRUE,1
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,North Light Books,30-06-1998,TRUE,4
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,Ace Books,30-06-1998,TRUE,9
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,Ace Books,30-06-1998,TRUE,10
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,Ace Books,30-06-1998,TRUE,5
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,Tor Books,30-06-1998,TRUE,4
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,Putnam,30-06-1998,FALSE,0
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,Tor Science Fiction,30-06-1998,TRUE,7
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,Ace Books,30-06-1998,TRUE,7
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,Houghton Mifflin Harcourt,30-06-1998,TRUE,8
122,The Power of One (The Power of One  #1),Bryce Courtenay,Ballantine Books,30-06-1998,TRUE,10
123,The Power of One (The Power of One  #1),Bryce Courtenay,Delacorte Books for Young Readers,30-06-1998,TRUE,2
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,Thomas Nelson,30-06-1998,TRUE,10
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,Wiley,30-06-1998,TRUE,9
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,Heinemann Drama,30-06-1998,TRUE,2
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,William Morrow Paperbacks,30-06-1998,TRUE,3
133,eBay for Dummies,Marsha Collier,Wiley,30-06-1998,TRUE,1
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,McGraw-Hill,30-06-1998,TRUE,6
137,Starting an eBay Business for Dummies,Marsha Collier,Wiley,30-06-1998,TRUE,1
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,Wiley,30-06-1998,TRUE,6
139,ebay Timesaving Techniques for Dummies,Marsha Collier,Wiley,30-06-1998,TRUE,7
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,Wiley,30-06-1998,TRUE,7
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,O'Reilly Media,30-06-1998,TRUE,4
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,Citadel,30-06-1998,TRUE,1
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,Citadel,30-06-1998,TRUE,3
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,O'Reilly Media,30-06-1998,TRUE,5
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,Penguin Classics,30-06-1998,TRUE,1
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,Signet,30-06-1998,TRUE,2
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,Penguin Books,30-06-1998,TRUE,9
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,Cliffs Notes,30-06-1998,TRUE,10
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,Barnes & Noble Classics,30-06-1998,TRUE,5
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,Dover Publications,30-06-1998,TRUE,8
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,Barnes & Noble,30-06-1998,TRUE,1
159,Dinner with Anna Karenina,Gloria Goldreich,Mira Books,30-06-1998,TRUE,7
160,Tolstoy: Anna Karenina,Anthony Thorlby,Cambridge University Press,30-06-1998,TRUE,5
162,Untouchable,Mulk Raj Anand/E.M. Forster,Penguin Books,30-06-1998,TRUE,4
163,The Untouchable,John Banville,Vintage,30-06-1998,TRUE,2
